entity,attribute,answer
慈云寺,建立时间,唐代
比亚迪,总部所在地,深圳市坪山区比亚迪路3009号
《神雕侠侣》,其他,由张纪中导演，刘亦菲、黄晓明主演的新版神雕侠侣，于2006年央视首播。
橡树湾,城区,仓山
巴夏诺,省份,拉蒂纳省
《红楼梦》,简介,中国社会科学院文学研究所专家介绍，《红楼梦《石头记》流传，不幸的是八十回后竟“迷失无稿”。程伟元经“竭力搜罗”补成全书，名为《绣像红楼梦》，于乾隆五十六年（1791年）由萃文书屋活字排印出版。》最初以抄本
韭葱马铃薯奶油汤,材料,橄榄油1匙
americaneagle,产品类别,男女士服装等
《犯罪学》,字数,471000
微波五彩茄子,原料,紫色长茄2个，香菜2棵，
机动战士敢达seedastray,名称,机动战士敢达seedastray
辣条,副作用,高血压、腹泻
制霉素片,用途分类,抗生素类
曲可伸,是否处方药,处方药
w酒店,建筑类型,酒店[1]
李尔王,级别,finland:s
intel酷睿i7-3770,cpu主频,3.4ghz最大睿频3.9ghz
古巨基,配偶,陈英雪
西方法律哲学家研究年刊2008,平装,535页正文语种
ctx-生物导融技术,功效,提高机体免疫标本兼治
tcp/ip详解卷1：协议（英文版·第2版）,原作名,"tcp/ipillustrated,volume1theprotocols,secondedition"
巴斯克维尔的猎犬,类型,犯罪，恐怖，悬疑
萨博,生日,1987-02-26
特拉万卡,人口（2001）,248
《华山论剑》,平台,pcpcpc
柱七,光谱分类,b5iab
柱七,视星等（v）,4.744
金黄甘薯脯,工艺,煮
沙漠旋转工地,难度,4星级
温泉镇,机场,威海国际机场
红,制作人,和平之月
黔城人才网,网站名称,黔城人才网
tr,全称,terresreres
卢卡斯,专业特点,前锋，助理教练
月季花,二名法,rosachinensisjacquem.
和平路,全长,约1.6公里
堇青石,颜色,浅至深的蓝，紫，无色、黄的白
博略,区,vire
华硕eahg4670酷翼版,芯片厂商,atin
王军,出生地点,中国天津
奥康集团有限公司,创建地点,浙江
武定宇,职务,北京联合大学艺术设计系讲师
西游记,首播时间,2010年1月3日
九龙珀丽酒店,周围景观,香港理工大学、维多利亚港
柱七,b−v色指数,0.34
莫亚,自治区,加那利群岛
htc,组织形式,股份制
mx视频播放器,分辨率,320x480480x800480x854
柱七,u−b色指数,-0.46
新桥镇,特色,最具活力的经济区域—上海
业个,读音,yēge
大熊座47c,轨道周期,6地球年
茶花女,imdb编码,tt0109527
卡贝,主要作品,《世界语原文小词典》
龙泉镇,建立时间,公元700年
黑色食品,主要食用功效,清除自由基，延缓衰老，改善营养性贫血
射雕英雄传,监制,王天林
小米手机3,发布时间,2013-09-05
海王星,近日点,"4,452,940,833km"
fantasy,专辑语言,日语
海王星,远日点,"4,553,946,490km"
诺基亚,员工人数,"128,445（2008年底）"
五诸侯一,r−i色指数,[1][2]
微星k8tneo2-f,主芯片组,viak8t800pro
地球,半长轴,"149,597,887.5km"
博略,大区,下诺曼底
大河边村,国土面积,6.53平方公里
七彩龙虾,特征,身体呈青绿色
小行星615,发现地,海德堡
微分销,软件名称,v5shop微信分销系统
曲可伸,用法用量,口服。
游敏,出生年月,1958年7月
恒大金碧天下,建筑形式,联排独栋双拼
文庙,景点级别,河北省重点文物保护单位
华优86,选育单位,华南农业大学农学系
絮勒什·马加什,政党,匈牙利劳动人民党
大手町站,距离,8.5km（起点站：高滨）
中国农业银行,产品服务,商业银行、投行、保险和基金等
怪医黑杰克,制作,朝日电视台、松竹、加山兴行会社
巴夏诺,人口（2009）,"1,662"
微软游戏工作室,产品,xbox（包括xbox360与xboxone）
中华人民共和国最高人民法院刑事审判第一庭,职责,处理相关的死刑喊冤案件
pny8800u,显卡芯片,geforce8800ultra
中国人民解放军空军航空医学研究所附属医院,医院等级,三级甲等[2]
截拳道,创立时间,1967年5月
城关镇,著名景点,悬鼓观黄山公园
北京军区政治部战友文工团,代表作,《郝家村的故事》
亚马逊中国,网站类型,b2c电子商务网站
向阳村,隶属于,白水镇中心村委会行政村
华夏银行,注册资本,68亿元
吴山,字,岩子
中国十大瀑布,包括,贵州黄果树瀑布
侧板,学科,生命科学总论
mb200(dextcliq),外观设计,3.1英寸
神州长城装饰工程有限公司,注册资金,7013.6099万元人民币
天途,开发商,战争策略类
房屋风水学,丛书名,国际大师风水系列
回到过去变成猫,小说性质,vip作品
河北金融学院,主管部门,河北省人民政府
东北凉菜,菜名,凉菜
新党,基本资料,1993年8月10日（21年165天）台北市
柯尼卡美能达363,接口类型,usb2.010base-t/100base-tx
兰多夫,体重,95.3公斤/210磅
nsk22313轴承,外径,65mm
jerry,身高,183公分
梅林传奇,官方网站,http://www.bbc.co.uk/merlin/
个人存款帐户,种类,个人银行结算账户
博略,insee/邮政编码,14052/ 14350
博略,• 人口2人口密度,53/平方公里（140/平方英里）
俪园,物业类型,公寓
明治大学,主要院系,法、商、文、农、理工、政経、経営、教养设计、国际日本
鲁棉研19,品种来源,鲁613系
砖庙村,城市,运城市
阳江市审计局,内设机构,办公室
第3次吉田内阁,假名,だいさんじよしだだいにじかいぞうないかく
铔,部首笔划,5
石膏,化学式,caso4·nh2o
万达广场,总建筑面积,约86万平米
2014年克里米亚危机,日期,2014年2月23日－现在（7月3周）
高村,耕地,8590亩
梅花落,类别,闺情诗
觅仙路,写作进程,完结
巴斯克维尔的猎犬,分级,italy:t
lg集团,网址,http://www.lg.net
高等教育研究,创刊时间,1984年
技嘉ga-ma69g-s3h,cpu插槽,am2940
新青年,主管单位,《新青年》杂志社
民主党,总部,430southcapitolstreetse华盛顿哥伦比亚特区20003
联邦星舰进取号,状态,退役
立风超市收银系统,版本,windows2000
张杰,活跃年代,2004年－至今
《人物》,主办单位,timewarner媒体集团
不逊,繁体,不逊
thinkpadx230232045c,处理器型号,intel酷睿i53360m
益阳市保密局,职能,保密法律、法规、方针政策。
佐佐木望,日语写法,佐々木望
柱七,径向速度(rv),-0.2km/s
歇后语,语种,汉语
博大教育集团,所属产业,教育产业
神道,平文式罗马字,shintō
维生素d3,剂型,滴剂
金奥聪,主要适用症,健脑补脑
生存战争,内容主题,创造、生存、地狱、冒险
家庭百科报,出版周期,每周五出报
巴斯克维尔的猎犬,导演,mauriceelvey
美尚奢品,所属行业,服饰、箱包、鞋帽、配饰、化妆品、手表、礼品
正睿i2tw2-4638(xeone5-2609/4gb/500gb/quadro600),显存容量,500gb
使命召唤：现代战争3,主要角色,普莱斯，尤里，睡魔，寒霜，马卡洛夫
卡惠,平台,ios，安卓
马卡龙,储藏方法,冷藏/冷冻保存
trilogi,项目位置,caydonproperties
《乱世英雄传》,发行商,成都千与千寻网络科技有限公司
很纯很暧昧,首发网站,起点中文网
埃克,人口（2009）[1],352
克里米亚,所属国家,俄罗斯联邦
hpjornada720,处理器主频,206(mhz)
页游公平模式,概述,何为页游公平模式
会展中心站,车站位置,西安市雁塔区
西河,长度,61.8公里
《科学》,出版周期,周刊
白云山,门票价格,80元
《父亲》,电影等级,argentina:13，chile:14，france:u
暴风雨,上映及发行,1979年9月13日
会展中心站,途经线路,2号线
池宇峰,公司,洪恩教育科技股份有限公司
三星nighteffect,手机类型,音乐手机
蔡依林,昵称,jolin、公主[1]、拼命三娘[2]、地才、流行教主、亚洲玛丹娜、亚洲天后
php动态网站开发,纸张,胶版纸
御坂美琴,等级,超能力者(level5)
新世界四季御园,区域板块,罗湖 莲塘
金牌大风,产业,唱片制作发行音乐版权电影制作
技嘉ga-b75m-d2v,内存类型,lga1155
巴斯克维尔的猎犬,主演,eillenorwood
龙潭水库,竣工时间,1984年
netgearrnd4210,硬盘容量,4
nsk51217轴承,厚度,125mm
蔡依林,教育程度,台北市立景美女中私立天主教辅仁大学英国语文学系学士
bzc51,适用范围,户内
文庙,始建于,明崇祯十二年
四川师范大学,知名校友,欧泽高、杨泉明、李言荣、李承鹏 李易峰
夏尔·戴高乐,前任,勒内·科蒂
高峰,运动项目,柔道
萝莉信长养成计划,小说类别,小说类别
西红柿焖凤爪,做法,鸡爪洗净
真福epi-750,额定功率,在线式
女演员,代表人物,巩俐、张曼玉、范冰冰、赵薇
阿里郎,地区,朝鲜
三合乡,主要民族,满族、蒙族、朝鲜族
武汉大学学报（医学版）,国内刊号,cn42-1677/r
小行星194,平近点角,343.1141588
巴斯克维尔的猎犬,摄影,jameswelland
信用控制管理,目标,1、树立风险意
大安区,户数,"5,346户"
《神雕侠侣》,制片人,张纪中
htcone,发布日期,2014年3月25日，10个月前
无花果,亚属,无花果亚属
昆西·杜比,重要事件,cba个人单场75分（历史第一）cba总决赛单场53分（历史第一）cba全明星赛单场44分（历史第一）cba总决赛单场三分球记录(10个)
勾股定理,提出者,毕达哥拉斯
孙中山,继任,袁世凯
泰勒·斯威夫特,音乐类型,乡村音乐、流行音乐、乡村摇滚
日本国旗,启用日期,1999年8月13日（法定）
打电话,相关,来自马季&郭启儒合说的一段相声
长沙站,车站等级,一等站
白色情人节,中文名称,白色情人节
amd5000+,适用类型,台式cpu
ddt,全名,深度死亡体验
《人物》,创刊时间,1974年
满招损，谦受益,用法,复句式；作补语
美女与野兽,拍摄日期,2012年11月
凤凰山,其他信息,旧时谷中有盘路，登峰视道中往来行人如蚁。峰顶二石钩连于此，名试心石。旧传朝山者登之，心诚则不动，不诚则摇跌入崖底。
神雕侠侣,作曲,周华健
亚历山大一世,父亲,保罗一世
炼金术士,定位,耐久、核心、控制
校园异灵录,小说作者,综合其他
siteapp,优势,快速生成内容自动同步
minecraft,最新版本,pc：1.8.1tv：0.9.5android：0.10.5ios：0.10.5
琼山中学,学校属性,省一级学校市重点中学
湖南省民办教育收费管理办法,发布单位,湖南省物价局、湖南省教育局
阿富汗战争,参战方,塔利班、基地组织，以美国为首的联军
王军,俱乐部资料,女足u-19青年队主教练
科学通报,国内刊号,（中） 11-1784/n，（英）11-1785/n
东京新国立竞技场,所在地,日本东京都新宿区霞丘町10番2号
香洲长途汽车站,地址,广东省珠海市香洲区海滨南路
华严寺,建于,明代万历年间
雨润国际广场,总投资,10亿元人民币
龘,部首,龍部（部外笔画：35）
索尼affm,网络模式,gsm，wcdma
尼康p5100,产品重量,约200g
胡椒科,亚种,共3100种
虎牙,本质,常见的畸形
微星845pemax2-fisr,cpu类型,腾4/赛扬4
许诺,体重,62kg
离心式加湿器,原理,离心式转盘在电机作用下高速转动
城关镇,总人口,54309人
安徽合肥沃顿环保技术有限公司,理念,利益共享、价值为尊、以人为本
辛烷,cas号,583-48-2
天行者,类型,动作，剧情
龙泉镇,别称,王店镇
明治大学,现任校长,福宫贤一
白胸苦恶鸟印度亚种,命名时间,"sharpe,1894"
李中言,医院,吉林医药学院附属医院
宠物情人,连载状态,2000年开始连载至2005年完结
祭牛神,方法,祭日要让牛休息，并用鸡、鸭等祭
新城中学,学生,1400多人
延冈市,罗马拼音,nobeokasi
死亡日记,配乐作曲,air
哈姆雷特,剪辑,girishbhargava
橡树湾,物业费,3.4元/月/平米
文峰塔,高,48.5米
小米手机3,处理器,nvidiategra4(t)和骁龙800(w/c)
苹果,命名者及年代,mill.，1768;
山西大学,校训,中西会通、求真至善、登崇俊良、自强报国
木工机械及配件,书名,2010中国木工机械及配件采购名录
地狱少女,原作,永远幸
橡树湾,总户数,5400
回转式刮泥机,结构,桥架
数码兽世界：复元,发行,万代南梦宫（万代名义）
奉高县,历史,汉武帝元封初年
陈杰,研究方向,车辆工程等
三合乡,特色产业,盛产多种鱼类、绿色稻米和优质芦苇
国立台湾大学,校址,台北市罗斯福路四段一号
相变,应用学科,化学工程-化工热力学
金堤,说明,阳谷县与河南省范县的分界线
paradise,歌手,李雅薇
离心泵,材质,铸铁.铸钢.不锈钢.氟塑料.玻璃钢
涿州影视城,经营理念,影视为表、旅游为里，文化为魂
茂恒园,小区地址,彩云路18号。物业类型
李荣浩,发行地区,中国台湾（首发），大陆
望夫石,体裁,五绝
2130酚醛树脂,外观,红棕色粘稠液体
acerx1211k,投影技术,dlp
空之境界,上映日期,2007年12月1日
全美超级模特儿新秀大赛,播出日期,2009年3月4日－2009年（美国）
河麂,别称,獐子黄子香獐马獐麝、土麝河麂
做你的男人,语言,国语
南红玛瑙,分布,云南保山、四川凉山等地区
spot卫星,轨道参数,高度为830km
